x	y
1611	6.08807
1612	6.08838
1613	6.08876
1614	6.08921
1615	6.08966
1616	6.09013
1617	6.09057
1618	6.09095
1619	6.09126
1620	6.09149
1621	6.09534
1622	6.09549
1623	6.09562
1624	6.0957
1625	6.09586
1626	6.09604
1627	6.0963
1628	6.09659
1629	6.09691
1630	6.09722
1631	6.08
1632	6.08037
1633	6.08072
1634	6.0811
1635	6.08138
1636	6.08164
1637	6.08186
1638	6.08203
1639	6.08228
1640	6.08257
1641	6.02929
1642	6.02953
1643	6.02971
1644	6.02983
1645	6.02992
1646	6.03007
1647	6.03022
1648	6.0304
1649	6.0305
1650	6.03065
1651	5.98051
1652	5.98059
1653	5.98071
1654	5.98083
1655	5.98098
1656	5.9811
1657	5.98124
1658	5.98138
1659	5.98153
1660	5.98163
1661	5.95663
1662	5.95657
1663	5.95647
1664	5.95632
1665	5.95615
1666	5.95598
1667	5.95591
1668	5.95594
1669	5.95597
1670	5.95605
1671	5.91487
1672	5.91493
1673	5.91497
1674	5.91497
1675	5.91493
1676	5.91484
1677	5.91469
1678	5.9145
1679	5.9143
1680	5.91419
1681	5.8777
1682	5.8777
1683	5.8777
1684	5.87773
1685	5.87779
1686	5.87781
1687	5.87785
1688	5.8779
1689	5.87797
1690	5.87799
1691	5.81528
1692	5.81533
1693	5.81546
1694	5.81564
1695	5.81582
1696	5.81598
1697	5.81606
1698	5.81617
1699	5.81623
1700	5.81628
1701	5.798
1702	5.79809
1703	5.79824
1704	5.79854
1705	5.79885
1706	5.79925
1707	5.79968
1708	5.80011
1709	5.80058
1710	5.80109
1711	5.75592
1712	5.75641
1713	5.75692
1714	5.75739
1715	5.75781
1716	5.75819
1717	5.75852
1718	5.7589
1719	5.75929
1720	5.75969
1721	5.74261
1722	5.74296
1723	5.7433
1724	5.74365
1725	5.74399
1726	5.74439
1727	5.74471
1728	5.74508
1729	5.74547
1730	5.74586
1731	5.75388
1732	5.75418
1733	5.75451
1734	5.75476
1735	5.75497
1736	5.75512
1737	5.75525
1738	5.75534
1739	5.75542
1740	5.75553
1741	5.68185
1742	5.68207
1743	5.68226
1744	5.68248
1745	5.68271
1746	5.68298
1747	5.68329
1748	5.68352
1749	5.68375
1750	5.68404
1751	5.68131
1752	5.68173
1753	5.68214
1754	5.68247
1755	5.68274
1756	5.68298
1757	5.68315
1758	5.68326
1759	5.68337
1760	5.68348
1761	5.64811
1762	5.64818
1763	5.64825
1764	5.64839
1765	5.6485
1766	5.64866
1767	5.64879
1768	5.6489
1769	5.64909
1770	5.64926
1771	5.59396
1772	5.59407
1773	5.59418
1774	5.59427
1775	5.5943
1776	5.59435
1777	5.59431
1778	5.59424
1779	5.59417
1780	5.59407
1781	5.53625
1782	5.5361
1783	5.536
1784	5.53596
1785	5.53591
1786	5.53585
1787	5.53588
1788	5.53584
1789	5.53578
1790	5.53574
1791	5.51815
1792	5.51799
1793	5.51784
1794	5.51766
1795	5.51742
1796	5.51716
1797	5.51689
1798	5.51664
1799	5.51642
1800	5.51626
1801	5.46401
1802	5.46406
1803	5.46421
1804	5.46444
1805	5.46474
1806	5.4651
1807	5.46545
1808	5.46586
1809	5.46631
1810	5.46675
1811	5.45204
1812	5.45254
1813	5.45303
1814	5.45347
1815	5.45393
1816	5.45436
1817	5.45476
1818	5.45513
1819	5.45549
1820	5.45591
1821	5.42117
1822	5.4216
1823	5.42203
1824	5.42248
1825	5.42296
1826	5.4234
1827	5.42378
1828	5.42421
1829	5.42467
1830	5.42505
1831	5.37302
1832	5.37354
1833	5.37404
1834	5.37453
1835	5.37502
1836	5.37543
1837	5.37579
1838	5.37623
1839	5.37668
1840	5.37712
1841	5.35751
1842	5.35795
1843	5.3584
1844	5.3588
1845	5.35925
1846	5.35973
