x	y
271	0.0844172
272	0.0654113
273	0.0724478
274	0.0618088
275	0.0856875
276	0.0525748
277	0.0574079
278	0.0497652
279	0.0489465
280	0.0576537
281	0.0260088
282	0.0398569
283	0.0408855
284	0.0423395
285	0.0310322
286	0.0505428
287	0.0587936
288	0.0322233
289	0.0349315
290	0.0272674
291	0.0263229
292	0.0433754
293	0.0178451
294	0.0340628
295	0.037964
296	0.0281382
297	0.0338457
298	0.0189804
299	0.0484855
300	0.0334495
301	0.147693
302	0.0909161
303	0.0846179
304	0.0831475
305	0.11712
306	0.0707362
307	0.0998393
308	0.106662
309	0.106253
310	0.102765
311	0.0333293
312	0.056801
313	0.0954152
314	0.0828421
315	0.0646116
316	0.0990295
317	0.0791119
318	0.0313618
319	0.063241
320	0.0385933
321	0.0745464
322	0.0664876
323	0.0580747
324	0.0728882
325	0.0527354
326	0.0556109
327	0.0383835
328	0.0594706
329	0.0279035
330	0.0432615
331	0.0287423
332	0.049082
333	0.0440633
334	0.0476942
335	0.0366455
336	0.0466607
337	0.0472312
338	0.0488205
339	0.0349645
340	0.0470866
341	0.0366453
342	0.036299
343	0.0319661
344	0.0465759
345	0.0270403
346	0.0258796
347	0.0263385
348	0.0185541
349	0.0323797
350	0.0306649
351	0.0279683
352	0.0348185
353	0.0333297
354	0.0231569
355	0.0273201
356	0.0284097
357	0.017363
358	0.0214945
359	0.0180799
360	0.0208993
361	0.025646
362	0.0210104
363	0.0172122
364	0.0143641
365	0.0186489
366	0.0185645
367	0.014636
368	0.0201886
369	0.0187175
370	0.0139586
371	0.0191865
372	0.019807
373	0.0174378
374	0.0111483
375	0.0181272
376	0.0230174
377	0.0186167
378	0.0225499
379	0.0208371
380	0.0113061
381	0.0155263
382	0.0124141
383	0.0119165
384	0.0121254
385	0.0211339
386	0.0161193
387	0.0230748
388	0.017936
389	0.0188768
390	0.0213527
391	0.0167514
392	0.00979457
393	0.00781862
394	0.0165931
395	0.0247587
396	0.0139004
397	0.00935648
398	0.0101836
399	0.0101016
400	0.0186863
401	0.0571843
402	0.0466225
403	0.0595367
404	0.0467756
405	0.0574546
406	0.0527587
407	0.0534761
408	0.0532758
409	0.0575918
410	0.0496745
411	0.0482953
412	0.0476344
413	0.0648515
414	0.0507211
415	0.0496597
416	0.0512357
417	0.0443464
418	0.063296
419	0.0492074
420	0.0401956
421	0.0487766
422	0.0449857
423	0.051017
424	0.049673
425	0.0600413
426	0.041044
427	0.0493549
428	0.0410264
429	0.0384674
430	0.0457886
431	0.0466536
432	0.0452124
433	0.0315313
434	0.0497359
435	0.0409221
436	0.0319536
437	0.0403394
438	0.0421606
439	0.0433261
440	0.0376319
441	0.0471258
442	0.0533913
443	0.042367
444	0.0383748
445	0.0535959
446	0.0378826
447	0.036598
448	0.0474275
449	0.0544815
450	0.0450181
451	0.0374895
452	0.0299758
453	0.0333508
454	0.0450845
455	0.0323932
456	0.0341444
457	0.0384834
458	0.0432629
459	0.0311435
460	0.0339023
461	0.0461716
462	0.0354281
463	0.0355988
464	0.0344495
465	0.0282358
466	0.0340728
467	0.0424296
468	0.0301932
469	0.0256443
470	0.0453629
471	0.0343274
472	0.0290799
473	0.0313647
474	0.0264818
475	0.0226698
476	0.0311492
477	0.0286409
478	0.0280879
479	0.0270221
480	0.0268106
481	0.0220452
482	0.0237523
483	0.0291569
484	0.0154312
485	0.0180213
486	0.0267095
487	0.0209416
488	0.016679
489	0.0179152
490	0.0140818
491	0.0133693
492	0.0248864
493	0.0120693
494	0.0298485
495	0.0169951
496	0.0172724
497	0.0239905
498	0.0166992
499	0.0173722
500	0.0247334
501	0.0670895
502	0.0648327
503	0.0820338
504	0.0677721
505	0.0759711
506	0.0988012
507	0.104083
508	0.0824514
509	0.0795622
510	0.0829085
511	0.0503209
512	0.0654672
513	0.0804143
514	0.0859459
515	0.0914581
516	0.0784985
517	0.0512175
518	0.0632109
519	0.0607636
520	0.0828995
521	0.057703
522	0.073315
523	0.0612724
524	0.0826609
525	0.0659194
526	0.0719459
527	0.0760549
528	0.0598062
529	0.0652608
530	0.0600575
531	0.0726453
532	0.0615285
533	0.0600425
534	0.0582665
535	0.058876
536	0.0726263
537	0.054925
538	0.0640696
539	0.058056
540	0.0653127
541	0.0515797
542	0.0680597
543	0.0545285
544	0.0447914
545	0.0456973
546	0.049715
547	0.0556361
548	0.0627804
549	0.0503183
550	0.0290319
551	0.0401641
552	0.05027
553	0.0506217
554	0.0500196
555	0.0627768
556	0.0369269
557	0.0462961
558	0.0575428
559	0.0551608
560	0.0483439
561	0.0456691
562	0.0444046
563	0.0468006
564	0.0399616
565	0.0436109
566	0.0349664
567	0.0478217
568	0.0487237
569	0.0393942
570	0.0527404
571	0.0347581
572	0.044634
573	0.0295208
574	0.0261585
575	0.035455
576	0.0320569
577	0.0362134
578	0.031286
579	0.0336353
580	0.0331924
581	0.0266696
582	0.0320159
583	0.0142189
584	0.0453189
585	0.0275839
586	0.0346142
587	0.0542564
588	0.0405214
589	0.0394569
590	0.0318479
591	0.0353172
592	0.025848
593	0.0380808
594	0.0333816
595	0.0288474
596	0.0321092
597	0.0257763
598	0.0224851
599	0.0331544
600	0.0247121
601	0.0848836
602	0.0734177
603	0.0420425
604	0.0623444
605	0.061176
606	0.0729716
607	0.0899368
608	0.080376
609	0.0721566
610	0.0706874
611	0.0541761
612	0.0639595
613	0.0581143
614	0.0889171
615	0.0871505
616	0.0526511
617	0.0452244
618	0.0445355
619	0.0596134
620	0.0599464
621	0.055432
622	0.0738911
623	0.0708723
624	0.0588053
625	0.0370238
626	0.0457279
627	0.0365152
628	0.0516575
629	0.0631115
630	0.048629
631	0.0508578
632	0.0397952
633	0.0487089
634	0.0475283
635	0.0488436
636	0.0502038
637	0.0393903
638	0.049802
639	0.0538108
640	0.0399317
641	0.0613464
642	0.0630955
643	0.0261389
644	0.0379405
645	0.0385313
646	0.0378757
647	0.0330141
648	0.0268546
649	0.03638
650	0.041511
651	0.0185761
652	0.0512103
653	0.0426065
654	0.0344917
655	0.0281754
656	0.0315699
657	0.0257472
658	0.029561
659	0.0368294
660	0.0198049
661	0.0389402
662	0.0389678
663	0.0282688
664	0.027076
665	0.0269584
666	0.0299692
667	0.0258596
668	0.0147902
669	0.0190167
